Post_Text,Emotions
i really want people to read my blog s but i can t write anything interesting enough i just write what i m feeling and who wants to read that boring kind of thing,sadness
i just feel you so so don t be afraid i should hurt even more and pray again so i can find you again the more time passes the more it hurts i need you go back in time just one time forgive my sins if only i could turn things back this pain would be so so sloth,fear
i doubt the streets would stink any less and since i found parisian summer to be pretty cold im feeling very apprehensive about visiting in winter,fear
i really feel like damaged goods,sadness
i were howling with comet and the baby was kicking so much for john to feel it was so funny,surprise
i have to find myself sitting in front of the consultant feeling furious and increasingly upset at her patronising refusal to allow me to make a choice over the kind of birth i wanted,anger
i feel accepted by the boys,joy
i feel insecure about my arms,fear
i no longer feel terrified,fear
i feel tortured being away from my baby,anger
i feel quite delighted at my tyre planter that just keeps on blooming away,joy
i think that in this way though the readers will most likely agree with what i wrote and hopefully feel more passionate about scientific research,love
im feeling smug that i didnt wear pearls,joy
i am awake again early enough to see the dark of the night turn to the soft half light of dawn and feel the cool breeze change from a misty foggy coldness to a freshness which heralds a nice day,joy
i am in no way pessimistic but i often have to bite my tongue in the netherlands when i feel a sarcastic comment popping up in my head,anger
i hated feeling dumb,sadness
i would pick out for myself but i will give them a try when i am feeling adventurous,joy
i feel pretty oh so pretty i feel pretty and,joy
i passed an exam that i was absolutely certain that i had failed,joy
i suffer this kind of exhaustion i feel useless,sadness
i look and feel miserable,sadness
i feel charming i feel whimsy,joy
i feel very overwhelmed,surprise
i don t like pushy sales folk and ask for help when i need it but sometimes i struggle and feel too proud to reach out and that s when i need others to reach out their hand,joy
i am writing this on a sunday evening feeling considerably more relaxed well sort of than i did this time last sunday and also at the end of what has been a long stressful but ultimately rewarding week,joy
i didn t know that i would feel so completely exhausted,sadness
i feel far less lonely,sadness
im feeling confident that im back on form,joy
i have would be that common ground but i always feel like i m a casual observer rather than an enthusiast,joy
i can sometimes feel the stares i get when i dont show the tears or emotions in a tender moment or even in a difficult time,love
i feel quite distracted as mum told me that my paws werent looking their best so instead of a nap ive had to do another pawdicur,anger
i feel thrilled and quite humbled i wasn t expecting anything like that and it s a funny feeling,joy
i am feeling lots of movement now but gar is unsure whether he feels or not,fear
i just feel enraged and impotent seemingly unable to enact the change i want to see,anger
i also feel unsure when asked to remember some of the computer science concepts such as algorithmic efficiency that i studied at university,fear
i feel so frightened at the thought of opening up my heart,fear
i would eventually go in to these stores but i had to work up a lot of courage and i would still feel super uncomfortable once inside which we all know is not normal for me,joy
i was made to feel ashamed of who i was,sadness
i never knew i could be so weak i couldnt even fight what i was feeling i knew i hated to feel that way yet i just let the emotions run free i acted waaay childishly like a child deprived of candies,anger
i knew there were a lot of hormonal things going on in my body too but the uncontrollable crying was still from feeling so uncertain about everything,fear
i feel god calling me there and if he wills it i ll be a priest for him and the rest of the faithful,love
i feel like an obnoxious american in the amazing race not discounting on people who cant speak english,anger
i only find out that they are looking and feeling complacent just before a match started and i have no other way to find out except through the assistant manager,joy
i feel a cold or sore throat coming on i simply use a onguard regime to nip it in the bud,anger
im now winded at the end of a tough rally but during the rally i feel good enough to stay in the point,joy
i feel defeated conflicted poor lonely rejecte,sadness
i have had i feel like there is not too much i can feel thankful,joy
i feel shaky discussing it with anybody especially in public as though i m a little ball of explosive tears just waiting to spill out everywhere,fear
i do see some of the value and ideas in functional programming style but somehow i feel really really hesitant to switch my java and python programming environments with tested and proven libraries to emerging ones in haskell domain,fear
im feeling a little mellow right now i have to admit that im actually feeling pretty low key and happy,joy
i see the starlight caress your hair no more feel the tender kisses we used to share i close my eyes and clearly my heart remembers a thousand good byes could never put out the embers,love
i suppose a couple days of not feeling so hot is better than whooping cough the visit went really well,love
i get why she is concerned because i have been pretty honest about feeling shitty about all of it,sadness
i feel so ugly fat and lonely,sadness
i am just feeling overwhelmed and there is nothing i can do to fix it,surprise
i do things according to my own feelings intuition disturbed by tuitions studies sci volunteer corps hauntings dogs charmed guitar piano horror movies thrillers mysteries lame movies lame cartoons any songs with good lyrics music,sadness
i was feeling hopeless than desperate having been suffering from acid reflux for weeks,sadness
i walked away from her i was left feeling slightly crappy about my life she s one of those women who ll subtly put you down put your children down too given half the chance,sadness
i just sit and feel thankful,joy
ill just run to people watch feel the wind in my face see the lovely colours of nature and look at the planes flying higher up in the distance,love
