Post_Text,Emotions
i feel bitter and just honkerblonked off in general,anger
i have certainly been in places where i did not feel welcomed and i made a point to go on to a place where i did find that feeling of welcoming,joy
i am feeling quite disheartened,sadness
i can see changes on my legs they have slimmed down a bit but i feel a little disheartened that its not that visible,sadness
i start feeling overwhelmed and i just want to run away and hide in the back of my closet,fear
i have stopped feeling surprised,surprise
i remember feeling as if i didn t belong and that i wasn t smart enough cool enough or even young enough,joy
i dont know how to explain to you all the emotions that i felt at that moment but i can assure you of one thing i didnt have to convince myself to feel passionate about dominican republic,love
i feel peaceful centered and an endless supply of energy each day to accomplish what is most important,joy
i was just reporting to a dear soul that the energies feel strange today and wondered if somethings up,fear
i feel like the supportive wife who does whatever he says and sits at home waiting for him to call with a plan of action,love
i feel inspired to make some of the christmas presents im giving away,joy
i feel like the supporting literature cited in this section is not only scarce but also badly presented,love
i said without emotion while feeling a freaked out fearful anxiety welling up in my chest,fear
i feel rude bring my own fridge i do eat food but i guess my option,anger
i was able to be myself and not feel pressured to talk in a group so it was in a way better than all the years in secondary school,fear
i know that when i am feeling distraught or moody i can depend on you two to put a smile back on my face,fear
i feel hopeless and out of control,sadness
i have some feelings i would like to share with you the valued reader,joy
i realized now that i lived my whole life loving some ppl who now i hate the most cause they alll have changed they all became veryy tough ppl after i got used to feel their tender touch in my life,love
i dragged my lazy ass albeit a cute one out of bed this morning i suddenly feel morally superior to everyone else,joy
i have the same feelings toward the word passionate,love
i feel i am really teaching and students get some lovely finished pieces,love
when i knew about my first job,joy
i seriously feel like a prisoner and i feel awfully gloomy when im in school thats why i always want to get out of the gates as early as possible,sadness
i was wondering why i was feeling so ecstatic,joy
ive been feeling really energetic at night and honestly i needed this,joy
i have realized that by ignoring it i am no better and it is heartbreaking to feel so helpless against it,sadness
i feel a little bit sorry for ahem to face hard times there,sadness
i havent gone a week without exaggerated eyelids since year at school i feel pretty fucking shitty,sadness
i feel very hostile at the thought of taking out my credit card,anger
i often feel so distressed and freaked out whenever my child gets sick,fear
i feel like an awful lot has happened in the past week or so,sadness
im sure shes done some writing tonight and is past that amount now but for the moment i can go to bed feeling triumphant and also happy in the knowledge that i havent given in to writing absolute and utter crap just yet and that my story is progressing nicely,joy
i was very good in the morning as i had been to the gym and done a zumba class followed by half an hour swim which of course i cycled to and from so i was feeling very virtuous,joy
i hate the way mom and dad are to her i hate the neglect of her feelings and her needs as an intelligent child that are rampant in their parenting style,joy
i have the feeling she was amused and delighted,joy
i do sometimes feel like im in this strange in between world,fear
i need to reflect on why i feel irritated,anger
i was feeling so regretful i didnt get it the other time,sadness
im still feeling annoyed though,anger
i am however caught by the feeling that i missed out on a lot of interesting conversational banter by reading dead writers write about deader writers,sadness
i do not like chain letters or anything that says you must we all have too many things we feel we must do so i give it to you freely with no obligation that you must do anything except the sincere wish for you to be happy,joy
i feel so empty and cold inside,sadness
i feel like i am living without my apendages and all vital organs,joy
i got a feeling like something tragic is going to happen and im praying to god im not like kristie and that im completely wrong on this one and that everything is fine,sadness
i feel a bit shamed but here it is dr,sadness
i basically wrote this for my future self i m feeling generous and think like i should just give the guy a break and list all the queries,love
i am feeling particularly joyful today and though todays blog entry doesnt necessarily align with my particular emotional state it is a subject that has rightfully found a place of conversation in the public eye,joy
i didnt like that she was intent on getting in between them when they were first starting to have feelings for each other but i liked how she backed off when she realized just how strongly leo felt for clara,love
i could clearly feel my adomen muscles contract everytime i cough like some adomen exercise haha and im aching from it now sigh,sadness
i feel bad that i don t have anything for you,sadness
im feeling really annoyed,anger
i feel annoyed by that girl,anger
i cant describe how im feeling without giving it away but in a way im feeling a bit heartbroken but definitely touched,sadness
i pray that you feel the presence of god around you and that you realize that the birth of gods son was a precious gift for you and you never have to be alone,joy
i feel so helpless without a camera to shoot pics of all the thrifty things i find and my beautiful flowers etc,sadness
i don t want to tell people how my first was with you and how you made me feel i don t want to think that you re the most gorgeous guy i ve ever seen and i love how other people disagree because i don t want them to see how truly wonderful you are to me,joy
i have days were i prefer to be the submissive it is a simple life i feel on the days i am submissive i do my best to please him he seems to be happy enough after two years of having me,sadness
i suddenly felt how statesmen feel when mobbed by the press or how doomed men feel right before they are lynched or stoned by a mob,sadness
i feel im being ignored,sadness
