Post_Text,Emotions
i would feel like i am doomed to repeat history once more,sadness
i start to daydream about accidentally hitting the end call button that i recently took up flossing after a year sabbatical and it has made me feel strangely superior,joy
i always feel a bit triumphant when i find a gift for my youngest brother that is not a movie or a video game or anything similar to those two,joy
i never wanted to be kissed never wanted to break the code but shed stolen that from me and i feel like i lost something i will never get back,sadness
i feel as if i havent been very productive over the past six months,joy
i was feeling strange downstairs i could still feel the dull sensation of the contractions but the nurse said she didnt want to check me for about an hour,surprise
i have to admit i was feeling pretty horny nicole,love
i feel hated loathed,sadness
i feel i shouldve enjoyed this trip as i always very eager to see aussy but i cant feel such feeling as mom is not among us any longer,joy
i feel like ive had to fake my feelings a lot more often then i would have liked to,sadness
i feel like ive been fairly successful,joy
i feel that there is too much time and energy devoted to saving the whales the baby seals and the great horned owls,love
i feel with aconfident heart i can be the overcomet that god wants me to be so i am eager to learn,joy
i couldn t help but feel personally insulted when oscar denounced the very idea as grotesque and unrealistic,anger
i will rest in the knowledge that even when im feeling isolated i am never alone,sadness
i have a curious feeling that benjamin button is the next forest gump curious case of benjamin button review a href http stayviolation,surprise
i had been really proud of myself but after how my husband had talked to me and talked about other girls i was really feeling disgusted about myself,anger
i go through the cycle again and again attending lessons doing tutorials feeling lethargic etc etc,sadness
i miss feeling glad,joy
i had such tender feelings for the sweet woman she was as she suffered in silence,joy
im feeling groggy and having a bad skin day,sadness
i feel very honoured that i evoke so much emotion in you that would drive you to put in so much effort for me,joy
i dont have enought time and i get tired of being made to feel unimportant,sadness
im definately feeling the change but im refusing to feel impatient about it,anger
i feel like im finally out of my box and free to be the person i was called to be,joy
a friend of mine suggested that i become a film extra the idea seemed very funny to me and my reaction seemed rather outlandish to the others,joy
i especially feel this way because someone who i thought was my friend rejected me and joined the clique,sadness
i cant feel complacent,joy
i feel quite content right now s i mean nothing amazing happened just a stupid frenh competition where im sure i did shit and tutor but i dontt know i feel ok,joy
ill feel even more pressured,fear
i forgot to feel sentimental about my line being pulled,sadness
ive been trying to tell you how i feelbut was never very smart,joy
i hope to use this blog site to put my feelings into words and let myself look back and see how determined i am this beautiful morning to be healthier,joy
i also love seeing a star emerge and i feel like in a few years everyone is gonna know and i can be one of those people who says obnoxious things like bah,anger
i feel rather petty that i just dont have time to have someone talented like christine make it,anger
i feel even more bothered because here i am being bothered by this when the boy probably isn t even thinking about this,anger
i enjoy making the people i love feel treasured and loved on their special day,love
i can t help but feel petrified of the future is she ever going to get better,fear
im feeling more stressed,sadness
i perform a submarine cartwheel before i feel a violent tug on my ankle as my board gets hauled towards the beach,anger
i feel like that fact is being abused,sadness
i have to admit i m feeling a little victimized,sadness
i knew it would feel empty and there would be the potential to feel like i wasnt doing well as i wasnt passing folks,sadness
im feeling really agitated for some reason i think its coz im confused,anger
i and fans cheering for penn state made me feel such a strong sense of belonging to the penn state family,joy
i apologize to anyone who may feel i have been a neglectful slacker mcslackerson,sadness
i feel intimidated by the great women in my family tree,fear
i have this kind of life so my girlfriend would feel very lonely for sure,sadness
i was having a cig and feeling like ok ill just write my colomn about how conservatish men are tha best bfs and tha best lovers,joy
