Post_Text,Emotions
i feel like this is a perfectly acceptable number since baby is really starting to crowd my lungs a bit more now,joy
i feel less useless on a day like this lol,sadness
i go home feeling simultaneously gutted and determined,joy
i feel innocent on summer nights,joy
i go closest to feeling the joys when i am physically beside friends i adore and am spending precious quality time together,joy
i kind of asked somebody if they confirmed my feeling and they ignored me so i guess i went on,sadness
i am feeling morose for i have been reading wuthering heights,sadness
i feel so impressed by a dental work in front of me as well as a cost which we am deliberation suicide,surprise
i started to feel thankful for my bed,joy
i run a full computer scan with my avast antivirus it shows no viruses however i m still feeling kind of paranoid about these programs,fear
i feel calm just thinking about it,joy
i often feel angry or wound up about all the injustices and while the concerns are important and taking action is worthwhile existing in a constant state of feeling over wound cant be healthy,anger
i feel have shown me that timing is veery important,joy
i still don t feel devastated by the break up,sadness
i hate this feeling to see you that way youre so talented yet you cover yourself you locked yourself,joy
im at the end of the day and im just exhausted and feeling very discouraged and under appreciated right now,sadness
i almost feel hesitant to write about this it s a topic that s so near and dear to my heart,fear
i am feeling so sad right now,sadness
i am sorry if you feel offended by my humorous statement my friend,anger
i am feeling brave i will attempt it,joy
i couldnt help but feel a little selfish for wanting her to stay but in relationships of this sort youd better get used to some premature goodbyes,anger
i also get this as another take home message you need to push your own limits do things that make you feel uncomfortable that scare you,fear
i feel like ive been running around without any sense of direction or longing of purpose or life goals,love
i feel gulity and feeling like im not being loyal and feel like im even cheating on her with,love
i feel that i m so pathetic and downright dumb to let people in let them toy with my feelings and then leaving me to clean up this pile of sadness inside me,sadness
i wanted to feel about our wedding and i hated that i felt resentful of what is supposed to be a joyous and celebratory occasion,anger
im in the second trimester i feel amazing,surprise
im just feeling so dazed everyday,surprise
i feel privileged to meet true heroes male and female yet by the masses unsung the world is full of heroes of heroes old and young,joy
i feel so dissatisfied angry and embarrassed,anger
im not going to lie it feels really weird to be writing this right now,surprise
im sure much of the advantage is psychological the feeling ive out clevered the competition who are now hopelessly burdened with their big chainring jump,sadness
i did not feel very much convinced of likelihood of dennis weaver to be using cocaine,joy
im tired of my family being so concerned about stevens man feelings when he does stupid shit that pisses me off like wrecking my expensive sweater and my pendleton blanket,sadness
ive never had a cavity and the dentist always praises me and makes me feel fabulous because of my outstanding dental health,joy
i feel that it is something that will never really be resolved,joy
i see wonderful godly parents taking care of their childrens i praise god even though i feel jealous,anger
i was fond of but to whom i have remained quiet about my liking for them either because i am confused about my feeling or because i feel inadequate about myself,sadness
i have a feeling its going to be a little sweet for my tastes,love
im feeling very remorseful at the moment,sadness
i feel like ive hit a sweet spot in life,joy
i alternate between feeling embarrassed and excited that my almost teen sister and i share some similar interests in books,sadness
i feel for matters at hand to be resolved these are no tears of self pity,joy
i type i feel bouncy and excited to get out my ideas,joy
i feel like my rejected little artist comes by to remind me not to ignore it from time to time,sadness
i feel our culture and artistic history is slowly slipping away except in the small groups that try to keep it alive,joy
i feel so ungrateful when thinking saying these things but im not sure how to make myself better,sadness
i called myself pro life and voted for perry without knowing this information i would feel betrayed but moreover i would feel that i had betrayed god by supporting a man who mandated a barely year old vaccine for little girls putting them in danger to financially support people close to him,joy
i dont remember a day i was not romantic and feel passionate about the feeling of life,love
i do not feel any regret that is a sorrow for an act or a failure to act because i think my daughter s experience here has been valuable and like most experiences imperfect,joy
i want to without feeling too inhibited,sadness
i feel it is vital to lay everything on the table now im not interested in setting myself up for further humiliation and disappointment,joy
i suggest you do though it might be hard cause it is a bit slow at times if you don t feel a bit of a tug at your heart or perhaps feel a tear forming in your tear ducts i will declare that you are heartless and thus should be banished from the rest of the world,anger
i like the feel of the game but im not very fond of the color scheme,love
i feel thankful to be strong enough and courageous enough to have taken the steps to change my life,joy
ive been feeling so restless lately why i bleached my hair so much a month ago,fear
i got back up after feeling in vain really because of scarlets reply regarding a myspace message,sadness
i felt even more frustrated and discouraged when i realized my reputation had been damaged but i also realized i had a choice i could feel resentful for the situation i was in or i could rebuild my good reputation,anger
i am feeling like something sweet there is always fruit,love
i just feel so fucked up by everything that the only place i can confide and spill my emotions is here because there isnt anyone like you,anger
i still feel really shaken about the whole thing,fear
im feeling exhausted today,sadness
