Post_Text,Emotions
i mean i m feeling pretty good but why ask for trouble you know what i mean,joy
i feel uncertain about,fear
i was young but i cant get that feeling back shes got a killers grin on and maybe im just too jaded now and i wont leave ill try and pretend cause weve got nothing to lose but time so here we go again,sadness
i really feel very bad,sadness
im starting to learn that feeling awkward isnt such a bad thing and feeling awkward isnt some sort of social disorder,sadness
im feeling much more optimistic than i was just before coming here or en route here,joy
i could feel this depressed since im always known or labelled to be happy blessed and all,sadness
i was failing to perform my expected duties and worrying about things i may have forgotten yesterday when i was starting to feel rather crappy,sadness
i needed to know i mattered that my feelings were important and that i mattered enough to be pursued and cherished and protected,joy
i feel honored to have had the privilege to have met him,joy
i think i am starting to feel jealous,anger
i feel like throwing away the shitty piece of shit paper,sadness
i don t feel very reassured when the general environment at a recruiters doesn t look like an office one either,joy
i don t really feel all that bothered by it to be honest,anger
i wanted to take this opportunity to express the way i feel about myself the blog and your lovely selfs of course,love
i feel like an ungrateful ass,sadness
i feel like a mollusk repeatedly beaten with a wet cloth and stabbed times in the back just for the sake of it,sadness
i also havent been feeling photo friendly of late as i have three coldsores on my face,joy
i can feel a little better about sunday maybe i can continue that good feeling and get back to the little hot bod i once rocked,joy
i feel that entertainers as talented as williams become part of our lives,joy
i feel her frustration when i see those ugly numbers and i feel her pain when an infusion site i insert into her body causes her to wince in pain,sadness
i feel like im supportive of my friends and their endeavors and i dont do that for the sole purpose of having it returned but i often find myself thinking why am i having to beg for support right now,love
i have been gathering them up when i feel brave enough and pressing them at home under books,joy
when my mother was tremendous on the phone and we talked for hours she was in a good mood,joy
i know that i sound like i m contradicting myself but i feel very satisfied with how i ve been doing at work,joy
i now feel less doubtful towards that person about his her sincerity in rebuilding our relationship,fear
i hope youre all feeling very fond of me by now,love
i am feeling a little sorry for myself and worse for him,sadness
i guess the finality of my decision and the financial repercussions have me feeling doubtful,fear
i feel less weird about my premature graying that started,surprise
i dont recall just now yet vividly recall looking at you as you said it and you i think looking back at me and my feeling very sympathetic or maybe empathetic is the better word of course you needed a space,love
i feel permanently heartbroken but at the same time if she were to ask me out again i would mend it right up and do it again,sadness
i feel hateful sometimes,anger
i am feeling rebellious i will start from the end instead of the beginning a very good place to start,anger
i love the discussions in the class and feel passionate about feminist issues but when i go to write it down it feels as though i am faking it,love
i felt the bubbling feeling and pretty soon i was at my peek and climaxed on her hands and her cute little dress,joy
i hate feel needy,sadness
i did not feel frightened just frustrated that i wanted to go back to sleep but felt there were unfinished tasks i needed to attend to there wasn t other than to edit two articles on freud s dream of irma s injection which were near completion and have subsequently been posted on this blog,fear
im ever feeling stressed i whack heart on black on and it kicks me back into shape,sadness
i cant help but feel so burdened,sadness
i feel privileged to be amongst this new culture and learn new things,joy
i was beginning to feel anxious about it and i asked him to help me out,fear
i feel so guilty,sadness
i feel my heart shaky all the time now,fear
i would do well in psychiatry because i really feel for my patients and am super perceptive of things most people dont pick up on,joy
i quite like to do it standing on public transport or busy places when you often feel your space being invaded which can make you feel stressed,sadness
i am feeling impatient restless excited,anger
i did not feel inhibited by the fact that the woman s clodia s husband sorry i mean brother i always make that slip is my personal enemy everitt,sadness
i never feel satisfied or satiated like i used to when we were dining out,joy
i havent gotten them yet because i still resent paying dollars for a procedure that wasnt fully successful and since i wore glasses for years i feel ive been tortured enough,anger
i may trust my partner to look after me and my needs and those of our relationship i feel threatened because they arent in control of the situation and obviously neither am i,fear
i feel is most important revolves around the connection i felt with my brothers and sisters,joy
i feel a sense of belonging to the soul of people even if i feel isolated from the collective ego of society,sadness
i feel so blessed and beyond thankful for the opportunity to paint for my readers its been the best,joy
i feel super reassured or that until i move on from this,joy
ive also discovered that because i feel less agitated by caffeine and cravings this coping method is unnecessary huge,fear
im not feeling real strong lately,joy
i love that refreshing energizing feeling when its been a week of gloomy weather and then a really great blue skies no clouds in sight kind of day,sadness
i feel so glad,joy
i stand by that he is actually annoying giggle i also acknowledge that i have been feeling very dissatisfied,anger
i don t perhaps feel the emotional connection to the issues as an american would but that doesn t take the enjoyment away,sadness
i feel greedy but too idealistic what is it to expect she would want you to talk to me your proported best friend that she might be happy you have me,anger
i feel like im being punished and it makes me sad stressed worried,sadness
i feel it must have been the violent dream i had to snap myself awake from a difficult dream of my mother representing anyone and everyone and self violence universal but beautiful in its metaphor,anger
i just saw a post on one girls facebook page that said something to this effect im feelin horny,love
i feel it s so obnoxious another vocab word,anger
i feel taller leaner and more graceful,joy
i am feeling grumpy and irritated,anger
im just gonna end here cause i feel stupid lying on my bed typing non stop for the past mins,sadness
i always feel this sadness and aching in my heart when i look at him,sadness
i was feeling pretty wiped out mentally amp physically i was determined to get some oxygen to my brain,joy
i cant really understand my feeling cause its a mixture between bitter and a sour one which even i dont get,anger
i feel i am shy and i am afraid of keeping my point of view,fear
i spontaneously come up with a new tune or when i am taking a solo and feel myself in that creative flow just going for it not knowing what i am going to play next and surprising myself he answers indisputably,joy
i have decided that i will not let the feeling demotivate me and here i am with all my enthusiasm and this diwali special recipe,joy
i feel uncertain about something i will act in a more positive and powerful way,fear
i have a full stomach and this is my nd class of the day im pretty much pooped and feeling lethargic,sadness
im really feeling lonely,sadness
i feeling confused with my life and want to know why my life,fear
i think feeling insulted was a good thing maybe if we all felt insulted and made that clear when someone attacks with a racial religious slur even though it is not aimed at you personally those that made the comment might learn something,anger
i feel at times i am not good enough on the aspects of a fiance a mother a friend a daughter,joy
ive been studying really hard for it and discovering pretty words that never crossed my mind and how they portray the exact meaning and i feel like ive missed out a lot,sadness
i understand that students must pass the mcas and fulfill other tasks but as idealized in freedom writers students will respond better learn and understand faster if they feel respected and valued and if they are excited about their education,joy
i feel blessed and lucky to have gone so many places and seen so many things,joy
i feel pathetic and the desolation is beyond consolation,sadness
i talk to dogs as i feel they cannot understand words but they can read emotions and know how to be supportive i decided i should go home,love
i feel welcomed and times id just really walk away because i feel as if they dont want me there,joy
i spent most of that game feeling unsure about where i needed to be what i should be doing and just mostly feeling completely lost,fear
i can only feel sorry for us that the relationship didnt work out,sadness
i will feel shy and won t be able to talk to her,fear
i invite him to send me an email detailing all the ways he feels that ive wronged him and i promise to post it unedited outside of names or what not in this blog,anger
i ran miles in my old custom orthotics and i still feel fine tonight,joy
i want to feel like i m reading something worthwhile,joy
i feel pleased with this design,joy
i feel like i barely broke into the kit,sadness
i am feeling drained its probably related to addisons,sadness
i am feeling a bit agitated or stressed i find a surprising amount of relief from cleaning and decluttering my house or even just a small space like a closet,fear
i am constantly overwhelmed by the feeling that i am not smart enough not pretty enough not nice enough not talented enough and worst of all that i am not doing enough to make any of these things better,joy
i feel so spiteful towards people sometimes just the way they look makes me want to hurt them,anger
i feel that all my ducks are in a row and i can actually rest assured and assuredly rest that i have everything in as good an order as i can possibly make it,joy
i am feeling fairly contented,joy
im feeling awful because we hung out with my friend and her new baby the day before,sadness
i feel like i m less faithful less worthy less loving and less able,love
i suppose if one were to love someone one would feel doubtful,fear
i finished checking in bruce had already left and yiling was just leaving so i don t feel i had a chance to properly thank them for being so considerate and making sure we got settled in,joy
i feel distanced from her and ever so unimportant shh but bah,sadness
i feel guilty because he is always good not just in the good times and i fail to recognize that,sadness
im going to let myself feel tender about it blog about it then let it go,love
i feel the need to remind you that you are never alone though lonely you may be i know of your distress and the things that haunt you best,sadness
i feel more like the girl i was when i was at i was fearless excited for life and discovery,joy
i get to my desk at nine feeling exhausted and tired and grumpy to come home and rush through my to do list and get angry that i havent finished it,sadness
i feel as though this class will still be useful because in the end when owning a business you have to spread the word of what your business is about and trying to sell or get done,joy
i feel like i could have treasured the time we had together more like i could have made more of an effort to see you talk to you,love
when i got my bsc degree with first class,joy
i advanced boldly feeling most adventurous at thus doing what everyone had often warned me against,joy
i only have a couple of things left to make and at the start of december i am done and feeling smug,joy
i feel that our values need to be shifted in the direction of caring for all things on earth for each other and for the planet we live on,love
i often find myself in a hostile environment my leaves feel damaged my blossoms die on the vine,sadness
i feel like this class has also reaffirmed the importance of women supporting other women learning that it s okay to be yourself and of an inclusive feminist community,love
i remember feeling really terrified when i was in brazil on a bus that was going up steep mountain hills on the side of the mountain in the middle of a big storm wondering if we were going to fall off,fear
i also learned that when i feel passionate about what i m writing i can actually be quite good at it,joy
i take things very personally when i feel wronged even little memories stay with me,anger
i got a feeling by the look in her eyes that she was sincere,joy
i am baffled hurt that i feel assaulted and unsafe,fear
