Post_Text,Emotions
i am feeling not so cute and my clothes are kind of snug so its time to clean up my act,joy
i dont know why but i am feeling fab u lous today,joy
i have been feeling really burdened by our debt which keeps growing but my husband seems to think it will magically disappear,sadness
i am feeling isolated with this infection as i have not told any of my friends only my sister and my mother who do not live close to me therefore feel i don t have anyone to talk to,sadness
i can feel all supportive and jrock ish in school tommorrow,love
i know that god has a huge plan for my life but i cant stop myself from feeling impatient and i know its bad but i sometimes well almost all the time question him about this,anger
i still feel damaged,sadness
i think about them tomorrow tomorrow but right now i m tired and was already a bit frustrated so i m just feeling completely drained,sadness
i woke up often got up around am feeling pukey radiation and groggy,sadness
i can stop feeling discouraged or full of self pity when another wave crashes down on us,sadness
i know what a car feels like when its running out of gas so i maneuvered to a blank spot in the parking lot and had myself a little think,sadness
i feel it is a vital sentiment that should be cherished and further nourished for every seconds of my life,joy
i was so depressing i feel like i broke up this was a week after she got engaged,sadness
i need even with his love and grace i still feel like i would feel lost without human companionship and i dont know how well id be able to deal with the loss of some of my best friends,sadness
i just feel annoyed at the way they share their success or even just the way they talk,anger
i dropped back to sleep for an hour or two and had very realistic peculiar dreams which are now stuck in my head making me feel a bit dazed,surprise
ive been disregarded devalued or heartbroken or when i am between boyfriends and in need of someone to make me feel valued attractive loved and adored i have certain men i call,joy
i was feeling calmer and more trusting on his restraints that he was helplessly trying to remove,joy
i was asked to do the illustration work for the second volume of the city of hell chronicles i was really excited but i couldn t help feeling a little apprehensive at the same time because as i have described before i m fairly new to all this,fear
i started to see a concerning pattern i d rush home at the end of the evening s activities to write out a post sometimes i d be feeling frustrated and flustered while sometimes i was eager and inspired,anger
i feel vain today,sadness
i would come home and pour a glass of wine sulk in my feelings until the sweet rest of intoxication took over and sleep pulls me into her bosom,love
ive been feeling really gloomy about some situations in my life and im stuffing my emotions with good,sadness
im kind of embarrassed about feeling that way though because my moms training was such a wonderfully defining part of my own life and i loved and still love,love
i sit six weeks into my sabbatical and i feel completely worthless,sadness
im so grateful to feel peaceful at the end of the day,joy
im feeling pretty pleased with myself,joy
i feel that i am smart person who thinks about things before i do them and i try to keep a level head on me,joy
i feel very loyal to it and i like doing it for as long as they want to do it and as long as we all want to do it,love
i was sleeping when i heard the neighbours screaming,fear
i feel as though my time is not valued,joy
i feel so reassured by them,joy
i can barely speak at all even though i feel just fine,joy
i have a mini list of good things about me that i can refer to the next time i m feeling shitty,sadness
i feel very strange today,fear
i feel i would stop trout class delicious title share this on del,joy
i want to find peace because there are so many things going on in the world that affect so many others and i feel selfish for being so sad four years later,anger
i am so thankful for my dream i started drawing again made me feel talented and framed my dream i can go after whatever i want,joy
i have a feeling that she is going to be very annoyed with me by the end of the race because i am going to be more interested in taking pictures than paying attention to pace,anger
i feel guilty about feeling guilty over my health crisis when i am so damn lucky to be here,sadness
i get ready to blog i feel so boring,sadness
i am on the same exact combination i was on when i conceived tate i started feeling so hopeful this month,joy
i feel like i am in paradise kissing those sweet lips make me feel like i dive into a magical world of love,love
i don t like orange but today i m feeling strangely sympathetic towards it,love
i feel completely blessed to be a part of this group,joy
i cant be sure if i subconsciously feel abit guilty for arguing with my mum,sadness
i have just finished my jubilation piece and i feel jubilant,joy
i feel confident that it wasn t my company that was bothering him,joy
i went to bed feeling less anxious and nervous than i had before that call and for that i was thankful,fear
i allowed myself to eat foods that i know bother me because after all since i feel awful it may as well have come as a direct result of eating something i enjoy,sadness
im feeling pretty cool calm and collected and sho nuff ready,joy
i say but freedom i feel alone,sadness
i am feeling so invigorated and so ready to keep pushing on to goal,joy
im just angry but i know she is hurt she feels dirty,sadness
im also eating much more nutritious food and feeling more energetic as a result,joy
i was feeling very pleased with myself for having resisted the very strong urge to buy fabric,joy
i feel like the world is just being bitter and cold but its degrees out sunny and bold something went a rye before early tea time and i cant figure it out yet,anger
i hate this feeling of helpless,sadness
i feel grouchy and i cannot think properly when i am deprived of food for more than two hours,anger
i don t feel they re being rude or impudent,anger
im sure he remembers what it feels like to have a delicious pregnant wife,joy
i just feel rejected by him over and over which is just weird,sadness
i do what i do because it feels lame to go along with the customary flow,sadness
i somehow feel glad shes now in malacca with me my younger sis,joy
i almost always feel dissatisfied with novels after i finish them,anger
i log on feeling vaguely sociable and after a short amount of time im all socialised out,joy
i don t always feel a bit homesick,sadness
i want a conditioner that will make me feel pretty and outgoing,joy
i woke up feeling ugly and im sure i looked like a hot mess,sadness
i feel i would give up the sense of touch feeling is because i am afraid to feel pain or suffering which i admit is probably one of the harder parts of life,fear
i feel really special and important,joy
i stop working on my homework and take a break without feeling irritable,anger
i was stone heavier and feeling hopeless,sadness
i am generally not a fan of tingling cleansers as my skin can be quite sensitive but this doesnt give me rashes or leave my skin feeling too irritated,anger
im not feeling quite as jolly though,joy
im feeling especially festive since i am wait for it all done my christmas shopping,joy
i feel bitchy but not defeated yet,anger
i have lost lbs have never been sick got off blood pressure and cholesterol meds and i feel terrific,joy
i don t hug my family i usually don t hug my friends there are only a few people i m willing to hug but if you get the chance to hug someone do it we all know they feel amazing,joy
i feel useless return false,sadness
i contributed my ideas and opinions during discussions and i feel that i contributed ideas that were valued and taken into consideration,joy
i wear funny cartoon t shirts of course with my favorite cartoon characters like bugs bunny and tweety bird that is when i feel humorous and in high spirits like going to a park or a mall with my crazy and dorky friends,joy
i feel so dumb photographing myself okay i even feel dumb trying to smile for justin,sadness
im not sure how much each diploma will cost or if its even recognized in this country but its something to make me feel productive and add to my resume when the babys old enough to allow me to go back to work,joy
i feel they are amazing unique people and i love them so very much,surprise
i also at first felt a hint of guilt but it was for a short period of time and then i just started to feel pissed off with the harassment,anger
i finally decided that it was partially due to the fact that i feel that the posts should have something important or at least interesting to share,joy
i often feel embarrassed for amount of time spent preparing for practice and games as compared to lessons,sadness
i have a feeling that the robin that builds her next under our deck is getting pissed too,anger
ive had times of feeling really lonely even though ive got facebook friends,sadness
i was feeling pret t y tender let me tell you,love
i just act how i feel im becoming what ive always hated,anger
i am starting to feel really isolated and it frustrates me,sadness
i have a feeling he would ve got something much cheaper and less fabulous,joy
i feel so damaged i just want you to have care of me continuer,sadness
i don t know when i will want to tell her and feel guilty and disappointed that everything i am thinking about her and our relationship right now is negative,sadness
im going to be very honest with you it feels amazing,surprise
i am feeling more confident that we will be able to take care of this baby,joy
i feel my blog is getting a bit bombarded with beauty posts and i feel im boring you all what dya think,sadness
i feel like the people i know are really generous and i have my needs met,joy
i wont lie either i was feeling pretty superior as i was out there running knowing that very few people make a christmas day workout a priority,joy
ill feel delighted,joy
im feeling more generous its intelligent background music that sounds much better in a large living room than in the confined space of the car or worse still on your walkman,joy
i would feel really dumb,sadness
